id,date,country,deaths
1342,2020-08-28,Italy,9
1343,2020-08-28,"Korea, South",5
1344,2020-08-28,Spain,15
1345,2020-08-28,United Kingdom,9
1346,2020-08-28,France,20
1347,2020-08-28,US,976
1348,2020-08-29,Italy,1
1349,2020-08-29,"Korea, South",2
1350,2020-08-29,Spain,0
1351,2020-08-29,United Kingdom,12
1352,2020-08-29,France,0
1353,2020-08-29,US,961
1354,2020-08-30,Italy,4
1355,2020-08-30,"Korea, South",1
1356,2020-08-30,Spain,0
1357,2020-08-30,United Kingdom,1
1358,2020-08-30,France,10
1359,2020-08-30,US,305
1360,2020-08-31,Italy,6
1361,2020-08-31,"Korea, South",0
1362,2020-08-31,Spain,83
1363,2020-08-31,United Kingdom,3
1364,2020-08-31,France,29
1365,2020-08-31,US,573
1366,2020-09-01,Italy,8
1367,2020-09-01,"Korea, South",2
1368,2020-09-01,Spain,58
1369,2020-09-01,United Kingdom,3
1370,2020-09-01,France,26
1371,2020-09-01,US,1067
1399,2020-09-02,Italy,6
1400,2020-09-02,"Korea, South",3
1401,2020-09-02,Spain,42
1402,2020-09-02,United Kingdom,10
1403,2020-09-02,France,26
1404,2020-09-02,US,1056
1405,2020-09-03,Italy,10
1406,2020-09-03,"Korea, South",2
1407,2020-09-03,Spain,40
1408,2020-09-03,United Kingdom,14
1409,2020-09-03,France,20
1410,2020-09-03,US,1070
1411,2020-09-04,Italy,11
1412,2020-09-04,"Korea, South",2
1413,2020-09-04,Spain,184
1414,2020-09-04,United Kingdom,10
1415,2020-09-04,France,18
1416,2020-09-04,US,965
1417,2020-09-05,Italy,16
1418,2020-09-05,"Korea, South",1
1419,2020-09-05,Spain,0
1420,2020-09-05,United Kingdom,12
1421,2020-09-05,France,0
1422,2020-09-05,US,783
1423,2020-09-06,Italy,7
1424,2020-09-06,"Korea, South",2
1425,2020-09-06,Spain,0
1426,2020-09-06,United Kingdom,2
1427,2020-09-06,France,0
1428,2020-09-06,US,403
1429,2020-09-07,Italy,12
1430,2020-09-07,"Korea, South",5
1431,2020-09-07,Spain,98
1432,2020-09-07,United Kingdom,3
1433,2020-09-07,France,2
1434,2020-09-07,US,267
1435,2020-09-08,Italy,10
1436,2020-09-08,"Korea, South",3
1437,2020-09-08,Spain,78
1438,2020-09-08,United Kingdom,32
1439,2020-09-08,France,38
1440,2020-09-08,US,445
1441,2020-09-09,Italy,14
1442,2020-09-09,"Korea, South",2
1443,2020-09-09,Spain,34
1444,2020-09-09,United Kingdom,8
1445,2020-09-09,France,35
1446,2020-09-09,US,1206
1447,2020-09-10,Italy,10
1448,2020-09-10,"Korea, South",4
1449,2020-09-10,Spain,71
1450,2020-09-10,United Kingdom,14
1451,2020-09-10,France,14
1452,2020-09-10,US,907
1453,2020-09-11,Italy,10
1454,2020-09-11,"Korea, South",5
1455,2020-09-11,Spain,48
1456,2020-09-11,United Kingdom,6
1457,2020-09-11,France,82
1458,2020-09-11,US,1213
1459,2020-09-12,Italy,6
1460,2020-09-12,"Korea, South",3
1461,2020-09-12,Spain,0
